,Act.ual,Predicted
0,38045.0,40021.0
1,57065.0,59726.0
2,138777.0,145346.0
3,166222.0,155561.0
4,60617.0,60831.0
5,97355.0,99261.0
6,58931.0,57609.0
7,82510.0,81820.0
8,134166.0,132905.0
9,27939.0,28923.0
10,85146.0,83243.0
11,459558.0,468441.0
12,21643.0,24149.0
13,21202.0,20185.0
14,28541.0,27083.0
15,72162.0,81653.0
16,164665.0,163543.0
17,231642.0,229989.0
18,379330.0,377090.0
19,256302.0,254903.0
20,157258.0,152927.0
21,54608.0,64169.0
22,103799.0,110538.0
23,74158.0,71744.0
24,1334810.0,1333969.0
25,19458.0,18377.0
26,48275.0,43757.0
27,82416.0,83049.0
28,1904010.0,1903527.0
29,154558.0,154509.0
30,67864.0,68775.0
31,168613.0,171821.0
32,9310.0,7804.0
33,371115.0,371935.0
34,45507.0,46082.0
35,90289.0,89899.0
36,39843.0,39101.0
37,20214.0,16494.0
38,131854.0,132886.0
39,10410.0,13278.0
40,234024.0,234319.0
41,0.0,-965.0
42,40649.0,40876.0
43,85524.0,84993.0
44,59732.0,58668.0
45,103397.0,101954.0
46,2793.0,-5006.0
